"bin","G05_1_A","G05_1_B","G05_1_C","G05_1_D","G05_1_E","G05_1_F","G05_2_A","G05_2_B","G05_2_C","G05_2_D","G05_2_E","G05_2_F","G05_3_A","G05_3_B","G05_3_C","G05_3_D","G05_3_E","G05_3_F","G05_4_B","G05_4_C","G05_4_D","G05_4_E","G05_4_F","G05_5_A","G05_5_B","G05_5_C","G05_5_D","G05_5_E","G05_5_F","G05_6_A","G05_6_B","G05_6_C","G05_6_D","G05_6_E","G05_6_F","G05_7_A","G05_7_B","G05_7_C","G10_1_A","G10_1_B","G10_1_C","G10_1_D","G10_1_E","G10_1_F","G10_2_A","G10_2_B","G10_2_C","G10_2_D","G10_2_E","G10_2_F","G10_3_A","G10_3_B","G10_3_C","G10_3_D","G10_3_E","G10_3_F","G10_4_A","G10_4_B","G10_4_C","G10_4_D","G10_4_E","G10_4_F","G10_5_A","G10_5_B","G10_5_C","G10_5_D","G10_5_E","G10_5_F","G10_6_A","G10_6_B","G10_6_C","G10_6_D","G10_6_E","G10_6_F","G10_7_B","G10_7_C","G10_7_E","G10_7_F","MES_1_C","MES_1_E","MES_2_A","MES_2_B","MES_2_C","MES_2_D","MES_2_E","MES_2_F","MES_3_A","MES_3_B","MES_3_C","MES_3_D","MES_3_F","MES_4_A","MES_4_B","MES_4_C","MES_4_F","MES_5_A","MES_5_B","MES_5_C","MES_5_D","MES_5_E","MES_5_F","MES_6_A","MES_6_B","MES_6_C","MES_6_D","MES_6_E","MES_7_A","MES_7_B","MES_7_C","MES_7_D","MES_7_E","MES_7_F","pH10_1_A","pH10_1_C","pH10_1_D","pH10_1_E","pH10_1_F","pH10_2_A","pH10_2_B","pH10_2_C","pH10_2_D","pH10_2_E","pH10_2_F","pH10_3_C","pH10_3_F","pH10_4_F","pH10_5_A","pH10_5_B","pH10_5_C","pH10_5_D","pH10_5_E","pH10_5_F","pH10_6_A","pH10_6_B","pH10_6_C","pH10_6_E","pH10_6_F","pH10_7_B","pH10_7_C","pH10_7_D","pH10_7_E","pH10_7_F","pH6_1_A","pH6_1_B","pH6_1_C","pH6_1_D","pH6_1_E","pH6_1_F","pH6_2_A","pH6_2_B","pH6_2_C","pH6_2_D","pH6_2_E","pH6_2_F","pH6_3_A","pH6_3_B","pH6_3_C","pH6_3_D","pH6_3_E","pH6_3_F","pH6_4_B","pH6_4_C","pH6_4_E","pH6_4_F","pH6_5_A","pH6_5_B","pH6_5_C","pH6_5_D","pH6_5_E","pH6_5_F","pH6_6_A","pH6_6_B","pH6_6_C","pH6_6_D","pH6_6_E","pH6_6_F","pH6_7_A","pH6_7_B","pH6_7_C","pH6_7_D","pH6_7_F","pH8_1_B","pH8_1_C","pH8_1_D","pH8_1_E","pH8_1_F","pH8_2_A","pH8_2_B","pH8_2_C","pH8_2_D","pH8_2_E","pH8_2_F","pH8_3_A","pH8_3_D","pH8_3_E","pH8_3_F","pH8_4_B","pH8_4_C","pH8_4_E","pH8_4_F","pH8_5_A","pH8_5_B","pH8_5_C","pH8_5_D","pH8_5_E","pH8_5_F","pH8_6_A","pH8_6_B","pH8_6_C","pH8_6_D","pH8_6_E","pH8_6_F","pH8_7_A","pH8_7_B","pH8_7_C","pH8_7_D","pH8_7_F"
"G05_1_E_cluster_DBSCAN_round3_4",826461,1125993,491903,1825308,2216701,1265324,2623642,3139312,1559248,2438237,445757,799949,317611,598116,1763308,804201,463555,166723,75331,267886,63194,29096,36234,55509,30101,192781,23070,6718,27444,37314,33960,49578,76997,82130,56122,2418,7239,32630,697268,2672947,969757,2151470,1418361,733929,1176247,1120896,888303,1008797,1487605,1731034,1782609,2804287,352692,3519328,344726,86963,157707,207574,161065,319003,181581,216344,139111,161853,501732,58070,22693,69999,42483,38983,371535,29342,156202,50842,93367,87816,30583,36318,148271,463995,132167,227039,356998,184340,71263,975947,112469,195250,88356,6913,6829,29743,23547,59126,15789,18679,49783,30315,20719,11962,14987,8123,11800,15333,14749,6414,24159,20122,24574,25108,9181,1126,29066,101216,53301,149752,90664,50940,10362,30488,72794,68759,75052,23081,22835,5937,2657,2661,2550,2247,2329,3128,1639,437,1283,1147,864,1604,1239,1102,1693,1917,419868,124725,186383,279844,315579,105200,25873,26843,21572,56506,120806,50591,8204,24468,42273,68172,65723,53296,5163,18077,16761,10923,6653,3367,3672,7544,6937,5673,6563,2217,5267,7846,16869,9470,2227,953,14007,2374,17014,31440,55552,387514,345091,762607,11661,11483,94684,81049,90240,59998,37515,90926,40989,59952,2944,4733,7077,12657,2489,5605,2761,4247,7897,5844,1457,2329,3227,1654,1701,2452,5277,2140,3165,3460,2214
"G05_2_B_cluster_DBSCAN_round2_17",4439,6226,2483,11931,32450,38372,15187,15494,13261,21994,2410922,94630,37030,37413,7125,54893,1666533,728181,556165,12294,1963348,5323199,3637010,1708926,1658335,129941,5440095,830127,5699666,2031481,1550252,1197380,6480586,1104027,2776193,696104,315499,3645729,5196,9374,3831,10800,9585,2815,8853,12238,28835,8992,324341,189942,11730,7201,6772,18338,404276,127933,7238,13584,14421,44362,202234,284946,113503,282495,3120,207814,288785,352286,766664,1157775,16391,633995,755581,421211,1271157,567885,992753,843547,2248,4454,11839,18407,3231,24853,29281,188150,105682,104985,8569,180689,99625,519559,317279,21480,379501,435529,960589,152723,553038,751136,449565,378823,735926,345824,975465,809668,726194,670236,375686,855349,680175,33326,82250,66077,56519,116118,94307,375600,2907615,462996,185792,564730,194717,3879581,1439421,2441149,515250,604517,638946,1598164,1292404,1567203,154538,171418,276054,427751,316065,687122,479678,314371,635826,418983,15765,19847,38292,6536,20942,3079,757383,940363,237610,192366,97983,228024,1878692,2704244,2670963,1338710,2629201,1821589,1404412,3149985,3763437,2202803,606756,1201036,877739,1779846,1114533,1116190,587034,823802,841473,1409524,888876,715418,348850,325367,642327,460667,404784,316956,221804,53060,131464,55283,1199189,2831961,2165545,115370,294164,340486,3545552,1737270,2049663,1581415,1802364,1292966,2610483,2181722,766943,914148,661824,2452522,1258420,1399023,450400,426883,474911,715638,525929,417973,718005,785442,1529043,653785,723653
"G05_2_C_cluster_DBSCAN_round3_1",49340,41773,35855,55396,148045,195817,52117,52870,125791,113507,1450331,283804,321477,316686,90309,308697,3219984,1549787,1386637,87568,2134664,2472780,1593477,743822,843096,121673,1295781,1206076,943451,602176,872588,367769,1760479,2169353,975246,192074,162752,732065,49234,64391,27901,96344,25486,16809,49830,62092,58611,62565,584880,141995,128942,45222,40808,119940,107335,207697,15845,21401,10411,28219,144177,22746,41025,20192,13244,46233,626564,15908,9343,37534,15590,39777,1048073,19515,25245,36569,672970,545169,29551,22672,72451,184479,13872,72634,43547,359739,274700,404487,24860,3977529,2142730,895250,496068,38407,567236,479341,645418,114718,828699,410470,271262,440242,293887,171300,607762,578084,696305,226269,167971,332344,106274,5681,2076516,2554434,4976762,4394527,3108272,3154808,2300398,2481149,8139874,6330440,5528459,2365768,3123762,1941211,7650775,5371060,3145755,2257798,8513613,3704013,1855631,874396,1915133,1557058,694482,1553072,1751769,958631,1399534,1297265,280797,274019,230795,83082,99677,24493,1970039,1438113,805556,1920243,1501427,1185158,3038356,3180647,2367037,3110786,2950706,2190395,1582370,1733331,5046580,842506,4480704,1019106,610845,2138831,1273541,1534425,1502606,1386930,969754,1719411,1373904,1254628,593142,311127,705633,426244,640971,2843224,1955187,634372,736850,439015,8880910,4452211,3014264,1751551,3092289,2737868,721097,720338,750121,1228042,2548968,1508174,2225095,901025,3792469,2335521,1171722,2113977,8977828,5618187,2705086,1303973,986132,1060158,940854,639246,2541095,1093393,1288576,883017,1152760
"G05_3_E_cluster_DBSCAN_round7_3",1764072,1471803,2015785,1623131,1198719,884513,2315460,2055187,5454569,1904129,309211,767292,1611072,1071088,2116326,858285,1178588,497598,276924,383077,117250,458632,84417,60587,61004,329837,160287,276167,37311,18938,106131,132441,314076,705341,71196,7277,5763,59917,1325357,3846114,1791272,6485706,2994249,1940041,9811906,5710236,5806531,10169468,2463318,931496,2813810,2337092,3268594,1329268,299585,217252,1434559,360694,249625,425609,296827,262576,214805,256889,454140,162804,295493,174616,111393,124325,428719,66778,594754,26524,35829,148065,184690,53339,898585,403950,272649,395443,422248,267513,102592,862273,474924,448044,194743,406495,161221,117990,85892,175898,75157,169710,188752,132422,164376,68331,70468,76592,56764,80666,72065,120667,163624,47922,78812,82002,26031,1359,111797,118934,61380,196931,80281,295084,90151,90336,280335,154014,152645,36998,47710,23792,1651484,1261956,380612,53383,578194,142483,265435,4751,132477,138274,9323,5893,5590,43651,7611,18969,878601,255103,394490,561599,462031,120210,101501,48991,29002,188201,168841,125631,120654,36573,44598,108591,105693,85450,52392,46125,349598,40898,408002,41904,25775,148302,91250,165314,92799,155107,100473,138079,163202,165791,8717,24074,3842,1000,29880,96830,153035,847033,845547,951444,447158,457283,130785,150332,182425,159386,1865,29227,20962,58266,89812,40148,89306,14420,612898,190704,190953,111468,1683909,701397,483055,135656,30741,62141,70758,9405,217260,3000,24537,17712,13218
"G05_5_C_cluster_DBSCAN_round2_2",1021387,824216,685998,1328883,2447519,1014641,3094138,2707833,1844195,2762558,323391,1306698,1067258,649791,1733679,790474,664937,142448,489517,1051459,588756,368279,462824,406477,300831,1248133,449707,249971,427897,382850,299772,527839,776103,528043,491622,42963,48625,396137,954443,2221766,1188567,3003524,1790753,721752,1701222,1775390,1642668,1826210,3593231,2055257,2048724,2156958,659113,2811951,794091,140056,899841,1050849,950621,2109403,605372,884663,1118477,971657,984360,905008,419413,480588,492388,419364,1045323,327731,556095,315122,491043,448481,364578,389028,431593,765219,554875,707014,917883,614892,234946,1678449,543333,329683,367913,104212,55758,449331,418016,453080,235041,350651,756867,521158,424548,190082,234536,241436,444034,499029,380954,224952,368013,248261,335989,395708,191452,10981,126847,218077,126460,683263,106143,317372,150072,92664,108161,171594,117810,194014,134490,101472,416504,487197,230327,211518,161583,206438,219753,209518,279894,276347,160430,381384,298647,303121,516136,341872,779319,292928,314613,552751,654733,137537,87514,84115,53863,277294,328520,193319,152827,198466,120173,143837,126592,71984,280933,228175,188258,189981,187960,206047,219547,222152,147462,205315,184102,235399,316652,317764,236228,217070,222850,152247,267971,166646,258754,42834,69142,789013,1096798,909566,78846,103073,157671,110921,207990,159134,44577,101732,57657,146109,244210,197300,217397,180289,219434,307373,312426,267151,410385,301062,263097,353603,271361,261023,259372,253910,611631,386129,512094,386216,393687
"G05_6_E_cluster_DBSCAN_round5_10",2824,2857,2238,2316,10508,5151,9405,7761,10155,11576,66307,13002,12937,8299,7546,8554,94369,57189,18250,4492,19861,47863,18862,17651,16505,11085,28656,43683,15758,6745,15500,30423,48199,108250,25365,1701,2389,10196,1251,3482,1948,5407,6054,2152,7130,7087,10568,8212,56110,32669,7813,4046,3773,28505,6908,5113,2560,4354,3322,5891,23352,12205,4633,6328,1869,7650,9376,25848,45492,32608,3828,15493,28505,14752,19617,8658,23970,8649,1651,18701,10055,11094,8717,8989,3350,38224,10545,10075,4799,19417,8561,7828,3105,3484,3357,9779,8724,5375,9609,3548,3709,7092,3772,6923,7109,6176,8327,3040,3506,3688,1266,50,45760,23204,6510,37800,8926,57336,28185,16119,15335,54291,9118,9464,4859,7123,256705,202780,54489,18545,101276,26542,50613,13727,50566,34488,6699,25313,59485,27590,45715,56325,10097,3002,5455,4849,6727,1008,10254,6568,4627,6034,7098,3226,20910,53537,10218,10336,12941,7155,19103,31036,38500,5754,60049,23811,24412,22582,27114,20160,99808,44504,37923,27871,59736,25757,12738,7785,31119,9512,15269,6031,7343,7953,17555,9963,22544,56392,17605,5678,11109,5015,3194,3191,2279,4976,24350,37738,20491,7645,82955,48676,42718,20469,198551,61218,36639,30292,33827,10843,15579,6389,115129,15734,63289,28991,14893
"G05_6_E_cluster_DBSCAN_round6_6",917,602,931,966,4419,2123,7940,7057,11422,6649,24893,17828,5424,2705,4262,3450,111300,74300,8182,1566,22385,112545,29317,14140,13979,5109,38417,37567,20413,9182,16861,24355,49995,69740,17178,3117,1944,17536,577,818,939,1504,745,381,9438,6087,26109,4549,122636,19034,9922,2278,4095,28092,8248,9978,6744,1648,2562,2781,7706,8347,4604,3571,2623,5005,35323,10450,24924,30395,1743,25706,70145,12279,18617,8147,29997,15868,1328,6458,5250,6605,3478,6259,5262,70169,10204,9438,2459,201584,54723,23006,8769,2964,15721,23778,25476,7586,34203,23843,11318,20337,9451,16777,19365,53380,36051,10438,19623,17471,12913,838,18114,9746,6197,14987,5603,19198,33628,14958,15633,20560,15175,36357,18432,30088,122066,66247,72385,54729,139950,75524,35742,12800,31910,29413,14932,24701,26846,17552,28044,24802,4038,1103,1405,1039,1093,271,28226,5066,1975,4929,2116,2448,66818,36751,25808,32747,24090,16415,27033,28376,175223,17647,85978,20197,17447,51903,26483,38877,29613,25376,19118,33243,30839,27173,8097,6355,9611,7401,11928,6670,6348,2755,3454,2513,223767,88535,29485,4377,3631,4897,8072,4319,4365,11074,38553,30766,42564,13755,91454,39265,34222,46919,355630,126429,49115,19613,16387,16520,18187,7763,46665,14780,25466,16077,17756
"G05_6_E_cluster_DBSCAN_round7_6",37128,50506,22211,43447,171210,93486,142438,151955,89209,292699,323868,134903,140033,97972,87759,99733,386607,109804,54372,60906,98928,223204,117646,107684,63114,60153,77493,195003,61866,75519,63473,89604,173613,356010,108153,20677,16808,58633,21542,52633,22978,69652,72798,20966,57465,66966,67018,64386,425662,370912,77346,68247,47902,90709,43506,16464,26628,45656,24188,73746,36196,38829,17927,25596,11250,17613,54439,19189,23231,33184,13808,17510,97207,15192,18896,6069,40108,28606,26229,48864,37353,68605,41699,56301,30014,238664,98517,91529,30512,87094,47379,60269,33575,50533,26951,51847,102255,54296,57041,10512,40303,67873,38013,60927,88105,34612,87041,49242,38117,56227,6775,503,366012,469178,173884,772417,112650,267860,226668,180645,118412,228273,120971,212948,159893,257157,1074471,1065997,469765,292007,875091,380399,229297,54480,473077,406758,111888,294469,575425,442342,451314,652872,122793,49475,72691,76476,96210,19512,104415,56533,42273,110521,161103,123482,104413,360883,73645,118205,183924,65896,248114,311969,320655,89990,292280,144485,149139,156041,127608,111582,574374,121925,232991,277564,465268,176677,187802,43171,263299,48691,168712,107283,114649,149046,221730,290566,165876,240928,170711,140087,311110,116428,80600,79771,60183,62204,233887,330770,284365,126268,526381,244039,280924,132365,767180,167636,241210,369632,233741,112709,205044,94489,571283,64037,147193,190038,129956
"G05_7_A_cluster_DBSCAN_round8_2",3440,3387,3999,3265,4630,4908,8907,10915,13982,11233,13639,7771,8839,6968,9415,6826,43743,13419,6103,3590,5413,34049,7262,4129,5391,5371,8131,3125,6526,1567,5915,7158,23004,36917,8150,730,611,3317,2380,6396,3100,11066,4540,2858,11866,11107,15706,12311,23589,19480,10828,6916,6020,6927,5252,2953,3998,4192,3069,6144,6496,5775,4044,5078,2349,4478,3055,5357,4281,6333,4472,2197,5042,2893,2500,2634,2635,1635,3423,5328,3737,5481,3329,3985,2382,23301,8550,10105,2217,32304,29859,59616,18838,2573,4261,36599,31354,4826,29787,5203,21025,8906,6914,6645,8446,6120,8065,4370,9870,6020,1471,100,2947,1380,897,1802,1223,2630,4090,2911,2311,3772,2806,1873,1923,1036,9035,8262,3660,1589,6781,2820,1550,477,1657,1159,432,2365,2138,1553,1737,2120,4416,1701,2209,2936,1956,683,3791,1804,859,2606,2210,2369,15871,8712,6822,8361,5918,7649,3987,4425,26019,4106,20538,3148,1577,8682,5981,9407,5291,4800,2961,4009,4947,4776,835,523,941,528,1245,1900,1918,4038,4104,5537,17973,15344,6215,2482,2659,3327,1052,2019,1039,2487,3171,2677,8595,1735,13713,6727,3176,4064,102312,13427,3897,2954,1851,1216,1602,641,6310,1214,2873,2004,1619
"G05_7_C_cluster_DBSCAN_round4_18",11747,10414,6338,13178,9950,9231,21311,22557,34953,27263,28821,21067,25295,24437,22959,23230,49734,17584,12523,5693,9010,8585,3937,8664,5850,21447,8296,3972,2998,4588,6963,28956,13654,18414,7740,525,690,8458,3993,8833,4777,16834,7372,3935,26465,30109,28732,31865,37264,28939,27257,21268,14928,17344,5015,4382,8377,6363,4010,9133,8990,7854,8516,9739,5333,6549,3964,5479,5005,9359,9525,3409,8331,2002,6304,3598,4680,2705,6752,5116,3632,7034,4037,5380,2274,34370,11527,15682,2332,18578,13392,7444,3827,2720,2718,8227,12051,6888,11801,4232,3250,4745,3768,6193,6103,4655,7967,2995,4048,4203,1427,56,7789,7149,2768,10816,4507,9772,8707,8567,13945,8561,8577,5103,4966,3378,24606,29061,10915,4490,15053,7494,3993,1705,6401,2902,980,15960,22120,10153,10723,16028,12569,4845,7706,8398,5145,1615,7144,6013,2829,8667,10217,5758,8083,21343,12916,13888,17162,10388,4258,5815,12797,2546,19217,3779,4143,6488,5179,5325,18411,6957,7322,10899,18268,8737,4476,1381,8999,1935,6092,5615,6480,13957,12588,16174,14901,23445,22202,9340,15554,11770,3272,6392,3972,7392,4684,8343,5084,3847,18845,17077,11206,6716,59165,25368,7427,10130,8721,2816,3567,1651,43557,4905,15650,16316,10274
"G10_2_C_cluster_DBSCAN_round1_10",1087385,1247345,1738212,2493814,1611939,1177513,3371636,4975835,6875115,4377044,243267,1597772,416658,305484,2694605,280888,67681,44568,33071,203815,30517,18467,20487,13063,12173,56097,12819,6026,14828,6183,4543,17017,18337,8211,10257,896,580,11201,948972,3179068,3006009,2943469,1092345,733561,2747464,3066284,4297761,3210052,1645585,2262368,1573913,1657399,2549916,1408337,159034,21243,1017760,223908,143872,148951,34682,31847,44154,39572,657924,17723,4343,13712,18191,14225,237874,10835,4084,10755,10900,52605,8299,2885,3554685,5018965,2337154,4620603,4815604,2505262,1000042,15686165,576566,752914,2442590,21127,14727,115694,64263,548504,34751,45758,73191,71737,38332,25240,22549,19502,20161,25161,30924,20481,28793,18398,27856,31089,14689,544,11503,9894,4915,31435,15200,12983,6637,2384,4202,14007,4371,1381,706,344,1803,2267,735,317,964,503,821,458,539,559,191,355,266,219,607,331,929502,377639,500540,1302867,1209794,539531,29605,39543,38712,174306,205101,158231,10674,17689,36631,44359,48015,50918,10900,25173,19441,16905,5677,10288,9482,7422,9772,6966,6424,5187,5821,4590,8778,4582,3063,2260,3991,2443,3347,33867,92538,926089,1386480,2010300,14622,22201,40515,92465,92884,68490,31373,44901,44633,16546,3054,2149,11378,5878,2875,4053,2538,3782,7597,5336,2056,2772,1791,1744,2281,1392,4307,2247,2122,1341,1365
"G10_3_A_cluster_DBSCAN_round5_0",285534,240628,82875,255621,204124,168333,413336,432462,453158,332541,285299,326206,342498,250359,287258,238574,268755,185219,91943,40453,56475,63141,35831,52404,35438,234097,66905,69351,32081,25533,39808,125932,100120,124965,37886,2881,1898,22240,196405,429166,72679,876022,205233,170092,497492,661828,234969,787509,1162147,870326,582252,421506,199843,430983,140203,49729,61787,131402,90246,169716,100838,156248,136376,153710,38400,84781,38293,54088,36560,53087,62399,26253,63896,11730,22816,65770,34207,34056,68282,128475,205703,404001,83417,293255,117995,1421428,649026,621521,132527,872268,821711,129616,58940,140640,67302,248948,136797,100256,385015,56550,79008,94067,58789,70600,89654,66264,111491,28314,32877,56332,15313,710,215898,134959,53262,129062,77918,158547,69865,76215,118748,273222,89087,52915,32174,33474,795886,502189,152170,57232,293569,110690,76887,4753,47646,61980,14679,67544,60067,67611,75187,104578,194041,92542,122417,134469,101902,36477,50023,46620,40754,147215,79584,126981,77662,75142,30876,44594,62184,28287,28061,42906,87960,17820,146389,25487,22567,50937,37821,52660,90144,63764,42954,59470,71026,53621,11943,7111,20663,6209,16079,76666,114254,262469,263553,303914,110633,227806,141735,128498,207695,286306,12704,23495,18983,25660,47746,58599,60817,20708,235773,121881,117092,61946,763908,229356,120356,54089,33468,18626,23408,6777,172545,18127,48912,46174,32070
"G10_3_D_cluster_DBSCAN_round210_2",14100,33990,9278,22275,30294,87217,77250,156993,45917,190601,63089,132334,116178,125769,62034,123692,76095,171208,30482,30207,23997,20271,13585,39594,28507,69775,39899,14380,11883,5147,13273,31524,30924,25232,10232,847,681,10861,5038,23911,7246,29135,10084,15555,18155,31396,21803,34839,180087,362923,33736,70808,11741,45831,21501,32654,5447,56098,36250,129856,38809,135049,38572,69110,9652,54034,12217,55533,27005,61662,60860,21627,21770,12422,9430,16126,5904,5050,5966,17826,25726,67259,13728,62202,15549,365552,118027,154098,22169,170404,179133,80290,37134,32396,29213,116458,178702,138070,152833,42734,65757,76242,49115,79000,82420,33487,60532,30640,26439,24247,8299,497,31909,32583,17033,31771,19776,25062,12895,4747,13263,12539,9620,8215,3868,5563,84055,73681,32135,11869,43377,32200,6042,367,5259,4837,916,3393,5009,5390,4020,6636,101360,36658,46023,71415,25582,14386,19842,11813,7777,27509,29802,24191,20285,17462,14317,21302,17653,13207,6338,13913,29368,5615,51652,8098,4207,26299,9120,24310,17318,26525,9827,18808,12594,16692,2120,903,3517,716,3000,24145,26834,81754,40558,125019,24261,81314,29783,21492,54858,28514,3107,7769,3996,9443,15546,8953,15641,4621,72578,27991,25045,21160,165593,110342,25513,14328,4273,4673,3655,1265,20343,1672,3421,4441,3506
"G10_6_B_cluster_DBSCAN_round179_0",146842,202989,108302,211885,182652,234286,326559,303760,169915,542544,256741,456156,354138,332539,180288,419869,309593,306640,256127,281077,343051,180490,399683,392744,415058,642811,384360,254063,336555,195619,154245,384207,434653,348835,342628,25426,23418,344303,78864,221245,96793,421832,208300,79092,250191,207689,199371,288383,591071,805791,121113,187026,88695,149709,85217,75033,203617,386611,320965,835778,506950,839895,468938,668460,243950,403444,184034,501742,367999,467584,511044,362504,269428,320750,422759,569327,393010,448881,93941,168236,186421,192099,140662,293489,171703,712741,810862,446354,208128,235718,353877,782844,438504,472153,445268,1026464,1643433,844297,768202,581177,572736,570653,552280,565466,707310,436786,1595670,867779,864268,1343780,540460,43178,143850,117620,73148,133202,61227,167442,142311,53231,122958,111837,70268,164408,78516,136321,427915,392311,227970,242330,338319,290652,67531,97582,142561,137200,101484,270249,190417,147155,275223,208496,341459,131191,259574,253398,194463,45669,117720,78343,61600,138185,216607,230755,257616,406157,162135,289065,192157,158314,232998,265281,230858,242804,310970,292721,347325,368732,252979,336762,252217,232929,151702,261038,204560,193444,154791,128829,294871,240426,279588,151146,145178,333677,221724,359671,84420,365989,181167,152582,293257,213132,19997,36184,24468,101832,303832,258326,369571,218054,324489,276985,284430,327365,854483,515943,222661,205617,170329,240258,146266,119426,455122,397503,390166,349325,424082
"G10_6_E_cluster_DBSCAN_round5_1",1747,1472,1029,2318,6790,3782,7769,5827,10998,6675,29030,10648,8909,5688,4447,6452,91190,81871,19357,2550,29578,141722,28954,14183,12413,6497,32946,32523,13893,9025,24196,36823,58791,51577,17810,2869,2343,25469,785,1348,1404,2162,929,512,8391,6896,25706,5909,67998,12558,11626,2350,5247,7311,20068,26586,9165,1337,3043,3626,12163,17857,5912,5341,2498,10380,80594,23761,66946,41016,2407,30889,147619,19070,17578,20772,66503,27178,1363,1909,3689,6003,1677,5168,6106,74484,15366,15230,1665,187264,120346,47684,18337,4757,33207,38290,45181,17568,64628,21642,15904,46878,17164,37139,46658,67962,72688,15974,41193,34131,17722,999,21123,10414,2870,17710,3909,13646,25817,11076,13282,24560,10180,18933,7604,11309,93485,60815,29957,19238,49047,27496,19937,3916,20957,13835,5738,11207,10580,9752,10740,15546,4955,2063,1443,1708,1392,373,19677,5533,1800,7930,2765,2502,38929,39413,15572,21951,15742,9805,24010,22940,125193,13325,49767,11164,7175,29875,10096,23443,11555,13436,10257,18542,11854,15595,2833,2351,3173,2121,6791,5665,5408,2893,4626,3685,171216,113266,23805,4522,4719,4993,12592,6043,6478,6806,30997,21217,26618,9976,58604,28062,19398,25354,172183,78341,32600,12319,5920,9039,7674,5204,16029,2190,5814,4769,5531
"G10_7_A_cluster_DBSCAN_round160_0",5393,5854,4181,7502,5387,4943,9554,9137,20598,10835,22125,8080,16193,11591,16705,15776,83905,131072,19016,4465,53457,42023,29367,18810,45203,28293,43168,21377,18927,7581,25251,64092,54327,54760,22657,1555,1401,10625,1730,5071,3044,9452,4187,2467,13458,15476,15195,16696,32409,28028,19134,13052,14518,12839,4470,6572,5144,2995,2562,5535,6782,9095,4462,5526,3150,6513,5848,7934,26039,51622,3842,11975,11000,63129,7776,4669,5562,3173,3247,5273,4214,6327,3711,4698,2312,24776,9035,10893,2268,52943,63552,16253,7847,2469,28745,81529,136958,9355,85650,25863,26730,26116,29300,29817,26692,26787,32918,16817,22127,21127,5954,358,8193,5770,1880,4313,2042,11449,20314,16066,12040,15369,9668,9398,9041,5576,113347,68093,28567,9982,89219,20528,10537,1893,10235,8614,2046,7043,7745,4988,7189,6326,6746,2221,3369,3675,1900,771,12600,5983,3773,7737,3691,6689,44160,20515,20162,29689,21481,29386,8364,8836,30797,8049,60123,12525,10939,21554,11694,20745,20776,15862,7762,13001,12250,14422,3419,2056,2164,1579,4433,4995,5174,5695,4223,6557,48980,22155,40626,7541,5650,11820,2613,9010,5296,10135,17866,12457,16659,5757,66596,23330,13296,13680,140799,74218,22118,11600,8233,5100,5275,1618,24313,3112,14098,3757,2966
